COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
4080,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,ARNULFO ARIAS,C.E.B.G. BILINGÜE DR. ARNULFO ARIAS MADRID,URBANA,PRIMARIA UNIGRADO,OFICIAL,664,7,2,0.986627043
4992,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,MATEO ITURRALDE,ESC. BILINGÜE SEVERINO HERNÁNDEZ,URBANA,PRIMARIA UNIGRADO,OFICIAL,473,4,1,0.989539749
5141,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,VICTORIANO LORENZO,ESC. SAN ANTONIO,URBANA,PRIMARIA UNIGRADO,OFICIAL,184,1,0,0.994594595
5298,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,C.E.B.G. BILINGÜE LOS ANDES,URBANA,PRIMARIA UNIGRADO,OFICIAL,649,1,1,0.996927803
6241,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,INSTITUTO JUSTO AROSEMENA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,862,0,0,1
6272,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,INSTITUTO CULTURAL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,249,0,0,1
6273,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,ACADEMIA LA MEDALLA MILAGROSA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,141,0,0,1
6274,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,EL BUEN PASTOR VERANILLO,URBANA,PRIMARIA UNIGRADO,PARTICULAR,275,0,1,0.996376812
6279,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,RAYITOS DE SOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,132,0,0,1
6282,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,EL BUEN PASTOR CANAÁN,URBANA,PRIMARIA UNIGRADO,PARTICULAR,317,0,0,1
6283,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,CENTRO EDUCATIVO BILINGÜE CARRUSEL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,272,0,0,1
