year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,0.0,COMPLEJO SAN BENEDICTO,SAN JOSE CENTRAL,94,94,1.0
2020.0,4213.0,C.T.P. DE OSA,GRANDE DE TERRABA,518,399,0.7702702702702703
2020.0,5748.0,C.T.P. DE QUEPOS,AGUIRRE,967,937,0.9689762150982419
2020.0,4231.0,C.T.P. DE MATAPALO,AGUIRRE,565,562,0.9946902654867257
2020.0,4214.0,C.T.P. CARLOS MANUEL VICENTE CASTRO,COTO,752,752,1.0
2020.0,4220.0,C.T.P. DE PUERTO JIMENEZ,COTO,560,560,1.0
2020.0,4217.0,C.T.P. GUAYCARA,COTO,872,848,0.9724770642201835
2020.0,4215.0,C.T.P. UMBERTO MELLONI CAMPANINI,COTO,718,718,1.0
2020.0,4216.0,C.T.P. DE SABALITO,COTO,765,758,0.9908496732026144
2020.0,4230.0,C.T.P. DE PARRITA,AGUIRRE,1273,1273,1.0
2020.0,4125.0,LICEO CIUDAD NEILY,COTO,1294,1274,0.9845440494590417
2020.0,4218.0,C.T.P. DE CORREDORES,COTO,868,840,0.967741935483871
2020.0,0.0,CIENTIFICO DE COSTA RICA DE PEREZ ZELEDON -UNA-,PEREZ ZELEDON,47,47,1.0
2020.0,4221.0,C.T.P. DE LIMON,LIMON,1444,1405,0.9729916897506925
2020.0,4224.0,C.T.P. VALLE LA ESTRELLA,LIMON,952,946,0.9936974789915967
2020.0,4134.0,LICEO MARIO BOURNE BOURNE,LIMON,1110,1106,0.9963963963963964
2020.0,4133.0,COLEGIO DE LIMON,LIMON,1642,1642,1.0
2020.0,4227.0,C.T.P. DE POCOCÍ,GUAPILES,2026,1994,0.9842053307008884
2020.0,4226.0,C.T.P. PADRE ROBERTO EVANS,LIMON,1471,1191,0.8096532970768185
2020.0,4223.0,C.T.P. DE TALAMANCA,SULA,1189,1189,1.0
2020.0,4222.0,C.T.P. DE BATAAN,LIMON,1446,1438,0.9944674965421854
2020.0,4228.0,C.T.P. GUÁCIMO,GUAPILES,1199,882,0.7356130108423686
2020.0,0.0,LABORATORIO DEL C.U.P.,PUNTARENAS,89,89,1.0
2020.0,4092.0,LICEO LOS LAGOS,HEREDIA,713,663,0.9298737727910238
2020.0,4090.0,LICEO SANTO DOMINGO,HEREDIA,1486,1485,0.9993270524899058
2020.0,0.0,SEK DE COSTA RICA,SAN JOSE CENTRAL,217,217,1.0
2020.0,0.0,WEST COLLEGE,SAN JOSE OESTE,71,71,1.0
2020.0,0.0,ACADEMIA TEOCALI,LIBERIA,81,81,1.0
2020.0,4000.0,UNIDAD PEDAGOGICA DR. RAFAEL ANGEL CALDERON G.,PEREZ ZELEDON,343,338,0.9854227405247813
2020.0,0.0,EL ESPIRITU SANTO,SANTA CRUZ,136,136,1.0
2020.0,0.0,CARIBBEAN SCHOOL,LIMON,117,115,0.9829059829059829
2020.0,0.0,CIENTIFICO COSTARRICENSE DE SAN PEDRO,SAN JOSE NORTE,46,46,1.0
2020.0,4120.0,LICEO ANTONIO OBANDO CHAN,PUNTARENAS,1056,960,0.9090909090909091
2020.0,0.0,AMERICAN INTERNACIONAL SCHOOL,HEREDIA,69,69,1.0
2020.0,0.0,COLEGIO CRISTIANO ASAMBLEAS DE DIOS,SAN JOSE NORTE,60,48,0.8
2020.0,0.0,CENTRO EDUCATIVO SAN MARCOS,LIMON,75,74,0.9866666666666667
2020.0,0.0,CIENTIFICO DE COSTA RICA DE CARTAGO -TEC-,CARTAGO,53,53,1.0
2020.0,0.0,INSTITUTO DE DESARROLLO DE INTELIGENCIA,SAN JOSE CENTRAL,93,93,1.0
2020.0,0.0,SAINT JOHN BAPTIST,ALAJUELA,252,252,1.0
2020.0,4229.0,C.T.P. DE JACO,AGUIRRE,1227,1198,0.9763651181744091
2020.0,3975.0,UNIDAD PEDAGOGICA JOSE RAFAEL ARAYA ROJAS,SAN JOSE NORTE,867,765,0.8823529411764706
2020.0,4141.0,LICEO DE CARIARI,GUAPILES,1596,1476,0.924812030075188
2020.0,0.0,COLEGIO BILINGÜE SAN RAMON,OCCIDENTE,112,112,1.0
2020.0,4036.0,COLEGIO VALLE AZUL,OCCIDENTE,485,481,0.9917525773195877
2020.0,0.0,CIENTIFICO DE COSTA RICA DE SAN RAMON -UCR-,OCCIDENTE,39,39,1.0
2020.0,0.0,ILPPAL,SAN JOSE OESTE,100,100,1.0
2020.0,0.0,COLEGIO LAS AMERICAS,SAN JOSE NORTE,234,234,1.0
2020.0,0.0,OASIS DE ESPERANZA,SAN JOSE NORTE,37,37,1.0
2020.0,0.0,COLEGIO MONT BERKELEY INTERNACIONAL,SAN JOSE NORTE,35,35,1.0
2020.0,4010.0,LICEO SAN PEDRO,PEREZ ZELEDON,468,468,1.0
2020.0,4093.0,COLEGIO LA AURORA,HEREDIA,626,626,1.0
2020.0,4001.0,UNIDAD PEDAGOGICA JOSE BREINDERHOFF,PEREZ ZELEDON,102,102,1.0
2020.0,4003.0,LICEO EL CARMEN,GRANDE DE TERRABA,189,184,0.9735449735449735
2020.0,4002.0,LICEO POTRERO GRANDE,GRANDE DE TERRABA,197,197,1.0
2020.0,4030.0,EXPERIMENTAL BILINGUE DE GRECIA,ALAJUELA,487,487,1.0
2020.0,0.0,MARIA INMACULADA,LIMON,249,249,1.0
2020.0,4132.0,LICEO MARYLAND,LIMON,375,375,1.0
2020.0,4135.0,COLEGIO SULÁYÖM,SULA,233,233,1.0
2020.0,0.0,COLEGIO BILINGÜE SAN FRANCISCO DE ASÍS,GUAPILES,172,172,1.0
2020.0,4066.0,EXPERIMENTAL BILINGÜE DE CARTAGO,CARTAGO,744,738,0.9919354838709677
2020.0,4058.0,LICEO DE COT,CARTAGO,674,672,0.9970326409495549
2020.0,0.0,BILINGÜE SAN AGUSTIN,OCCIDENTE,145,144,0.993103448275862
2020.0,4151.0,LICEO SAN JOSE,ZONA NORTE-NORTE,385,382,0.9922077922077922
2020.0,0.0,BILINGÜE DEL VALLE,SAN JOSE OESTE,25,24,0.96
2020.0,3971.0,UNIDAD PEDAGOGICA CUATRO REINAS,SAN JOSE OESTE,251,248,0.9880478087649402
2020.0,4158.0,C.T.P. DOS CERCAS,DESAMPARADOS,1089,1086,0.9972451790633609
2020.0,3990.0,LICEO DE FRAILES,DESAMPARADOS,222,209,0.9414414414414415
2020.0,0.0,SAN LORENZO,SAN JOSE NORTE,62,62,1.0
2020.0,0.0,SAINT GREGORY,SAN JOSE NORTE,109,109,1.0
2020.0,0.0,CIENTIFICO DE COSTA RICA DE GUANACASTE -UCR-,LIBERIA,53,53,1.0
2020.0,4113.0,LICEO DE COLORADO,CAÑAS,427,427,1.0
2020.0,0.0,SANTA FE PACIFIC,ALAJUELA,68,68,1.0
2020.0,4857.0,C.T.P. COVAO NOCTURNO,CARTAGO,547,511,0.9341864716636198
2020.0,0.0,SAGRADA REINA DE LOS ANGELES,SAN JOSE CENTRAL,196,196,1.0
2020.0,0.0,VALLE AZUL-HORARIO DIFERENCIADO,SAN JOSE OESTE,117,117,1.0
2020.0,0.0,COLEGIO ISAAC MARTIN,SAN JOSE NORTE,135,135,1.0
2020.0,4095.0,LICEO LA VIRGEN,SARAPIQUI,731,728,0.9958960328317373
2020.0,4076.0,SAN JOSE DE LA MONTAÑA,HEREDIA,646,615,0.9520123839009288
2020.0,4123.0,LICEO COMTE,COTO,378,365,0.9656084656084656
2020.0,4071.0,LICEO TUCURRIQUE,TURRIALBA,361,359,0.9944598337950139
