AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,610,7,0.944055944,,,,,
2020,110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.994680851,,,,,
2020,110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.977777778,,,,,
2020,111,2,ESCUELA GABRIELA MISTRAL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.957328386,,,,,
2020,112,0,ESCUELA EDUARDO LLANOS,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.968641115,,,,,
2020,113,9,ESCUELA ALMIRANTE PATRICIO LYNCH,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.970074813,,,,,
2020,114,7,ESCUELA PLACIDO VILLARROEL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.923553719,,,,,
2020,116,3,COLEGIO REPUBLICA DE CROACIA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.929824561,,,,,
2020,117,1,ESCUELA PAULA JARAQUEMADA ALQUIZAR,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.985533454,,,,,
2020,119,8,ESCUELA CENTENARIO,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.949799197,,,,,
2020,122,8,ESCUELA THILDA PORTILLO OLIVARES,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.966887417,,,,,
2020,123,6,COLEGIO ESPANA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.991913747,,,,,
2020,124,4,LICEO LUIS CRUZ MARTINEZ,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.975728155,,,,,
2020,124,4,LICEO LUIS CRUZ MARTINEZ,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,510,7,0.929919137,,,,,
2020,124,4,LICEO LUIS CRUZ MARTINEZ,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,610,7,0.957575758,,,,,
2020,125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.964332893,,,,,
2020,125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.981132075,,,,,
2020,126,0,COLEGIO REPUBLICA DE ITALIA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.965156794,,,,,
